video_id;view_count;tags;url;duration_in_seconds
kVxOMIaNypY;627;Joan Nalubega, Soap, Malaria, Uganda, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=kVxOMIaNypY;59
EIhE4NqatEg;1851;Jewish Community, Synagogue Attack, United States, Pennsylvania, Jew, Pittsburgh, Gunman, Tree of Life Synagogue, Mass Shooting, Robert Bowers, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=EIhE4NqatEg;102
D__eMbkXf64;8176;Syrian War, Istanbul Summit, Turkey Syria Summit, Syria Summit, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=D__eMbkXf64;130
5iFmFA4fJYA;3280;Apu, Simpsons, Racist, Racial, Adi Shankar, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=5iFmFA4fJYA;127
XAXQ0AllRmk;145363;Recep Tayyip Erdogan, Airport, Turkey, Istanbul, World's Largest, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=XAXQ0AllRmk;83
GnNMaSsnunc;3112;Ranil Wickremesinghe, Maithripala Sirisena, Mahinda Rajapaksa, Sri Lanka, Civil War, Parliament, Tamil Tigers, Constitutional Coup, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=GnNMaSsnunc;107
6Ivbf-kXZwE;1940;Refugee, Crime, Camerawoman, Kick, Migrant, Hungary, Syria, Acquit, Immoral, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=6Ivbf-kXZwE;62
1-HT1iEuTok;5369;Protest, #eathpenalty, Asiabibi, Pakistan, Supremecourt, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=1-HT1iEuTok;115
lY9UCbf8tUI;1512;President, Donald Trump, Immigration, US, Birthright Citizenship, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=lY9UCbf8tUI;94
eKQ2med7ecM;2770;North Korean Leader, North Korea, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=eKQ2med7ecM;114
iyVAWsDjvH8;817;Google, Alphabet Inc., Berners-lee, Information Age, Technology, Social Media, Computing, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=iyVAWsDjvH8;85
7yrYZv8H3K8;65667;Brexit Negotiations, Brexit, Europe, European Union, Politics, Social Issues, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=7yrYZv8H3K8;394
fN1wCoGHn-E;51432;Abdullah Alaoudh, Abdullah, Saudi Arabia, Heirs Apparent, Western Asia, Genealogy, Politics, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=fN1wCoGHn-E;289
TXR7wl9no4w;5858;China Bus Crash, Southwest China, Yangtze River, Driver, China, Yangtze, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=TXR7wl9no4w;46
R2UwSPxn_0A;7068;Congress, Trump, Democrats, Politics, Gop, House of Republicans, History, Racism, Republicans, Hilary, Clinton, Senate, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=R2UwSPxn_0A;118
R1L23cIT-9I;2531;Gaza Crisis, Environment, Gaza War, Gaza, Hamas, Israel, Palestine, Land Pollution, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=R1L23cIT-9I;279
ZqbgQeJ2vLQ;7414;Libya, General Haftar, Ghassen Salama, Militias, US, Un, Daesh, Gna, Gnc, Lna, Isis, Tripoli, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=ZqbgQeJ2vLQ;383
TYlWUKxV-hk;4240;Liverpool, World Youth Forum, Statue, Mohamed Salah, Egypt, Fan, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=TYlWUKxV-hk;72
bbsDfeY_ZiA;5541;Sanctions, Iran, Trump, US, Oil, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=bbsDfeY_ZiA;128
NK169iGp5VE;6219;Khashoggi, Son, Apeal, Saudi, Body, Crown Prince, Mbs, Jamal, Journalist, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=NK169iGp5VE;63
sajH__ZIgQQ;11146;Saudi Arabia, Mbs, Khashoggi, Jamal Khashoggi, Turkey, Mohamed Bin Salman, Saudi Death Squad, Crown Prince, Yemen, Murder of Jamal Khashoggi, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=sajH__ZIgQQ;297
6-twuj-F8hY;5064;USA, Sanctions, Trump, Iran, Economy, Oil, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=6-twuj-F8hY;110
van6AvfnIKI;1966;Delhi, Green Crackers, Supreme Court, Celebrations, Smog, Diwali, Happy Diwali, Ncr, Pollution, Firecrackers, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=van6AvfnIKI;98
LBybm59c9SE;949;Texas, United States, Senate Races, Beto O'rourke, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=LBybm59c9SE;51
cd3SUohxkpk;20185;Ethnic Cleansing, Rohingya, Myanmar, Zuckerberg, Facebook, Human Rights, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=cd3SUohxkpk;59
1G7QRc4_wII;49885;Senate, Muslim, Blue Wave, Republican, Election Results 2018, Congress, Ted Cruz, Democrats, Trump, Gop, Red Wave, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=1G7QRc4_wII;170
nLuWDtiZfIA;4513;Blasphemy, Pakistan, Imran Khan, Pakistan Blasphemy Law, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=nLuWDtiZfIA;219
SiFpqCvZd1E;1780;Olive Tree, Israel, Settlers, Settlement, Palestine, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=SiFpqCvZd1E;111
mvx02dgxnVc;7891;Saudi Arabia, Egypt, Mohammed Bin Salman, Israel, Bahrain, Oman, UAE, Lebanon, Netanyahu, Gaza, Palestine, Qatar, Sadat, Hezbollah, Kushner, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=mvx02dgxnVc;251
h1TOlgJXKyI;10155;Hang Asia Bibi, Pakistan, Imran Khan, Blasphemy, Asia Bibi, Blasphemy Law, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=h1TOlgJXKyI;179
adT5ZKSHW5k;1840;Social Media, Patriotism, Cricket, Virat Kohli, India, Batsmen, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=adT5ZKSHW5k;130
